Port Name,State,Port Code,Border,Date,Measure,Value,Year,Month,DayOfWeek
Oroville,WA,3019,US-Canada Border,2018-12-01,Personal Vehicle Passengers,22241,2018,Dec,Sat
Fort Fairfield,ME,107,US-Canada Border,2004-09-01,Personal Vehicles,13928,2004,Sep,Wed
Richford,VT,203,US-Canada Border,2020-01-01,Rail Containers Full,129,2020,Jan,Wed
Sault Sainte Marie,MI,3803,US-Canada Border,2004-12-01,Personal Vehicles,61238,2004,Dec,Wed
Port Huron,MI,3802,US-Canada Border,2012-06-01,Personal Vehicles,179937,2012,Jun,Fri
San Ysidro,CA,2504,US-Mexico Border,1999-08-01,Personal Vehicle Passengers,3004881,1999,Aug,Sun
Warroad,MN,3423,US-Canada Border,2017-12-01,Truck Containers Empty,309,2017,Dec,Fri
Lynden,WA,3023,US-Canada Border,2009-04-01,Personal Vehicle Passengers,95156,2009,Apr,Wed
Sumas,WA,3009,US-Canada Border,1998-08-01,Rail Containers Empty,412,1998,Aug,Sat
Maida,ND,3416,US-Canada Border,2016-08-01,Personal Vehicle Passengers,1634,2016,Aug,Mon
Northgate,ND,3406,US-Canada Border,2017-09-01,Trains,15,2017,Sep,Fri
Del Rio,TX,2302,US-Mexico Border,2007-12-01,Bus Passengers,2180,2007,Dec,Sat
Eastport,ID,3302,US-Canada Border,2012-08-01,Truck Containers Full,3717,2012,Aug,Wed
Metaline Falls,WA,3025,US-Canada Border,1998-06-01,Personal Vehicles,2728,1998,Jun,Mon
Blaine,WA,3004,US-Canada Border,1996-10-01,Bus Passengers,34075,1996,Oct,Tue
Calexico East,CA,2507,US-Mexico Border,2013-09-01,Truck Containers Empty,11497,2013,Sep,Sun
Sault Sainte Marie,MI,3803,US-Canada Border,2018-02-01,Rail Containers Full,1618,2018,Feb,Thu
Morgan,MT,3319,US-Canada Border,2003-02-01,Bus Passengers,31,2003,Feb,Sat
Nogales,AZ,2604,US-Mexico Border,2006-05-01,Trucks,29970,2006,May,Mon
Sumas,WA,3009,US-Canada Border,2004-07-01,Truck Containers Full,10783,2004,Jul,Thu
Scobey,MT,3309,US-Canada Border,2012-11-01,Personal Vehicles,443,2012,Nov,Thu
Fort Fairfield,ME,107,US-Canada Border,2003-11-01,Bus Passengers,131,2003,Nov,Sat
Whitlash,MT,3321,US-Canada Border,2018-10-01,Personal Vehicle Passengers,39,2018,Oct,Mon
Noyes,MN,3402,US-Canada Border,2001-05-01,Buses,20,2001,May,Tue
Presidio,TX,2403,US-Mexico Border,1997-09-01,Pedestrians,1045,1997,Sep,Mon
Ambrose,ND,3410,US-Canada Border,2006-12-01,Personal Vehicles,126,2006,Dec,Fri
Baudette,MN,3424,US-Canada Border,2005-12-01,Trucks,270,2005,Dec,Thu
Port Huron,MI,3802,US-Canada Border,2008-03-01,Rail Containers Empty,13009,2008,Mar,Sat
Ogdensburg,NY,701,US-Canada Border,2007-01-01,Buses,13,2007,Jan,Mon
Calais,ME,115,US-Canada Border,2014-01-01,Train Passengers,26,2014,Jan,Wed
Roma,TX,2310,US-Mexico Border,1997-12-01,Personal Vehicle Passengers,392680,1997,Dec,Mon
Frontier,WA,3020,US-Canada Border,2006-02-01,Buses,15,2006,Feb,Wed
Warroad,MN,3423,US-Canada Border,2011-02-01,Train Passengers,350,2011,Feb,Tue
Beecher Falls,VT,206,US-Canada Border,2011-04-01,Trucks,659,2011,Apr,Fri
Oroville,WA,3019,US-Canada Border,2019-03-01,Trucks,2508,2019,Mar,Fri
San Luis,AZ,2608,US-Mexico Border,2019-09-01,Truck Containers Empty,596,2019,Sep,Sun
San Ysidro,CA,2504,US-Mexico Border,2002-08-01,Bus Passengers,117335,2002,Aug,Thu
Eagle Pass,TX,2303,US-Mexico Border,2006-12-01,Truck Containers Empty,2699,2006,Dec,Fri
Van Buren,ME,108,US-Canada Border,2002-11-01,Pedestrians,98,2002,Nov,Fri
Sumas,WA,3009,US-Canada Border,2003-01-01,Personal Vehicles,42883,2003,Jan,Wed
Roseau,MN,3426,US-Canada Border,2017-05-01,Bus Passengers,60,2017,May,Mon
Santa Teresa,NM,2408,US-Mexico Border,2012-01-01,Bus Passengers,145,2012,Jan,Sun
Sherwood,ND,3414,US-Canada Border,2008-12-01,Personal Vehicle Passengers,2914,2008,Dec,Mon
Lancaster,MN,3430,US-Canada Border,2013-02-01,Trucks,472,2013,Feb,Fri
Grand Portage,MN,3613,US-Canada Border,2014-01-01,Buses,116,2014,Jan,Wed
St. John,ND,3405,US-Canada Border,2016-03-01,Buses,2,2016,Mar,Tue
Columbus,NM,2406,US-Mexico Border,2013-04-01,Bus Passengers,1092,2013,Apr,Mon
Norton,VT,211,US-Canada Border,2009-06-01,Personal Vehicles,5505,2009,Jun,Mon
Richford,VT,203,US-Canada Border,2017-03-01,Truck Containers Full,155,2017,Mar,Wed
Sumas,WA,3009,US-Canada Border,1999-10-01,Trucks,10301,1999,Oct,Fri
Van Buren,ME,108,US-Canada Border,1997-11-01,Truck Containers Empty,696,1997,Nov,Sat
Nogales,AZ,2604,US-Mexico Border,2012-07-01,Rail Containers Empty,1898,2012,Jul,Sun
Rio Grande City,TX,2307,US-Mexico Border,2003-02-01,Personal Vehicles,55395,2003,Feb,Sat
Willow Creek,MT,3325,US-Canada Border,2007-03-01,Personal Vehicles,169,2007,Mar,Thu
Noyes,MN,3402,US-Canada Border,1998-06-01,Trains,114,1998,Jun,Mon
Douglas,AZ,2601,US-Mexico Border,2002-01-01,Personal Vehicles,178919,2002,Jan,Tue
Beecher Falls,VT,206,US-Canada Border,2006-06-01,Personal Vehicle Passengers,14803,2006,Jun,Thu
Scobey,MT,3309,US-Canada Border,2002-06-01,Trucks,40,2002,Jun,Sat
International Falls-Ranier,MN,3604,US-Canada Border,2005-07-01,Pedestrians,3029,2005,Jul,Fri
Noonan,ND,3420,US-Canada Border,1997-04-01,Trucks,73,1997,Apr,Tue
Detroit,MI,3801,US-Canada Border,2010-08-01,Bus Passengers,25513,2010,Aug,Sun
Roma,TX,2310,US-Mexico Border,2014-09-01,Personal Vehicles,55572,2014,Sep,Mon
Turner,MT,3306,US-Canada Border,1997-01-01,Bus Passengers,163,1997,Jan,Wed
Richford,VT,203,US-Canada Border,2015-02-01,Trains,15,2015,Feb,Sun
Sault Sainte Marie,MI,3803,US-Canada Border,1999-06-01,Train Passengers,96,1999,Jun,Tue
Eastport,ID,3302,US-Canada Border,2004-01-01,Truck Containers Empty,184,2004,Jan,Thu
Naco,AZ,2603,US-Mexico Border,2009-08-01,Buses,1,2009,Aug,Sat
Sherwood,ND,3414,US-Canada Border,2000-07-01,Trucks,315,2000,Jul,Sat
Detroit,MI,3801,US-Canada Border,1999-10-01,Personal Vehicle Passengers,1533885,1999,Oct,Fri
Danville,WA,3012,US-Canada Border,2003-12-01,Train Passengers,28,2003,Dec,Mon
