Port Name,State,Port Code,Border,Date,Measure,Value,Year,Month,DayOfWeek
Lynden,WA,3023,US-Canada Border,2017-08-01,Truck Containers Empty,2847,2017,Aug,Tue
Dunseith,ND,3422,US-Canada Border,2000-08-01,Truck Containers Empty,86,2000,Aug,Tue
Beecher Falls,VT,206,US-Canada Border,2007-04-01,Pedestrians,8,2007,Apr,Sun
Hidalgo,TX,2305,US-Mexico Border,2002-04-01,Personal Vehicle Passengers,1403853,2002,Apr,Mon
Jackman,ME,104,US-Canada Border,2012-11-01,Personal Vehicles,8314,2012,Nov,Thu
Eastport,ME,103,US-Canada Border,2005-06-01,Truck Containers Full,220,2005,Jun,Wed
Norton,VT,211,US-Canada Border,2017-07-01,Trains,20,2017,Jul,Sat
Northgate,ND,3406,US-Canada Border,2016-09-01,Personal Vehicle Passengers,2539,2016,Sep,Thu
Detroit,MI,3801,US-Canada Border,2006-08-01,Buses,2837,2006,Aug,Tue
Boundary,WA,3015,US-Canada Border,2008-01-01,Train Passengers,38,2008,Jan,Tue
Detroit,MI,3801,US-Canada Border,2018-09-01,Personal Vehicles,334660,2018,Sep,Sat
Del Bonita,MT,3322,US-Canada Border,2019-04-01,Buses,1,2019,Apr,Mon
Norton,VT,211,US-Canada Border,2017-07-01,Rail Containers Empty,206,2017,Jul,Sat
Fort Kent,ME,110,US-Canada Border,2010-09-01,Truck Containers Empty,706,2010,Sep,Wed
Eastport,ID,3302,US-Canada Border,2017-10-01,Trains,125,2017,Oct,Sun
Del Rio,TX,2302,US-Mexico Border,2009-03-01,Personal Vehicles,128294,2009,Mar,Sun
Laurier,WA,3016,US-Canada Border,2018-11-01,Truck Containers Full,218,2018,Nov,Thu
Van Buren,ME,108,US-Canada Border,2002-03-01,Personal Vehicle Passengers,40947,2002,Mar,Fri
Walhalla,ND,3407,US-Canada Border,1999-04-01,Personal Vehicle Passengers,3701,1999,Apr,Thu
Lancaster,MN,3430,US-Canada Border,2010-06-01,Bus Passengers,59,2010,Jun,Tue
Portal,ND,3403,US-Canada Border,2008-12-01,Bus Passengers,304,2008,Dec,Mon
Laurier,WA,3016,US-Canada Border,2003-01-01,Rail Containers Empty,12,2003,Jan,Wed
Piegan,MT,3316,US-Canada Border,2010-01-01,Truck Containers Full,82,2010,Jan,Fri
Douglas,AZ,2601,US-Mexico Border,2015-05-01,Trucks,2526,2015,May,Fri
Laurier,WA,3016,US-Canada Border,2007-07-01,Bus Passengers,96,2007,Jul,Sun
Fort Fairfield,ME,107,US-Canada Border,1998-05-01,Personal Vehicle Passengers,43749,1998,May,Fri
Roma,TX,2310,US-Mexico Border,2019-06-01,Personal Vehicles,54953,2019,Jun,Sat
Roma,TX,2310,US-Mexico Border,1996-04-01,Truck Containers Empty,529,1996,Apr,Mon
Walhalla,ND,3407,US-Canada Border,2010-07-01,Bus Passengers,14,2010,Jul,Thu
San Ysidro,CA,2504,US-Mexico Border,2004-09-01,Personal Vehicles,1422652,2004,Sep,Wed
Roma,TX,2310,US-Mexico Border,2011-01-01,Personal Vehicle Passengers,103782,2011,Jan,Sat
Laredo,TX,2304,US-Mexico Border,1998-04-01,Trucks,110964,1998,Apr,Wed
Hannah,ND,3408,US-Canada Border,2008-02-01,Truck Containers Empty,2,2008,Feb,Fri
Norton,VT,211,US-Canada Border,2007-05-01,Rail Containers Empty,410,2007,May,Tue
Hansboro,ND,3415,US-Canada Border,2007-08-01,Personal Vehicle Passengers,2294,2007,Aug,Wed
Laurier,WA,3016,US-Canada Border,2017-11-01,Trains,14,2017,Nov,Wed
Skagway,AK,3103,US-Canada Border,2000-10-01,Bus Passengers,28,2000,Oct,Sun
El Paso,TX,2402,US-Mexico Border,2010-08-01,Trucks,61607,2010,Aug,Sun
Roseau,MN,3426,US-Canada Border,2000-04-01,Trucks,858,2000,Apr,Sat
Calais,ME,115,US-Canada Border,2008-06-01,Trucks,7136,2008,Jun,Sun
Sweetgrass,MT,3310,US-Canada Border,2004-06-01,Personal Vehicles,18650,2004,Jun,Tue
Willow Creek,MT,3325,US-Canada Border,2018-10-01,Personal Vehicles,184,2018,Oct,Mon
Sumas,WA,3009,US-Canada Border,2019-05-01,Rail Containers Full,139,2019,May,Wed
Tecate,CA,2505,US-Mexico Border,2019-03-01,Personal Vehicles,92015,2019,Mar,Fri
Northgate,ND,3406,US-Canada Border,2019-10-01,Trucks,864,2019,Oct,Tue
Piegan,MT,3316,US-Canada Border,2007-05-01,Bus Passengers,283,2007,May,Tue
Roseau,MN,3426,US-Canada Border,2001-05-01,Buses,5,2001,May,Tue
Carbury,ND,3421,US-Canada Border,2017-05-01,Personal Vehicles,819,2017,May,Mon
Sherwood,ND,3414,US-Canada Border,2009-03-01,Truck Containers Empty,265,2009,Mar,Sun
Norton,VT,211,US-Canada Border,1997-07-01,Bus Passengers,241,1997,Jul,Tue
El Paso,TX,2402,US-Mexico Border,2018-09-01,Truck Containers Empty,15866,2018,Sep,Sat
Otay Mesa,CA,2506,US-Mexico Border,2003-06-01,Trucks,60000,2003,Jun,Sun
Nogales,AZ,2604,US-Mexico Border,2016-01-01,Trains,60,2016,Jan,Fri
International Falls-Ranier,MN,3604,US-Canada Border,2001-10-01,Personal Vehicle Passengers,72626,2001,Oct,Mon
Neche,ND,3404,US-Canada Border,2003-10-01,Trucks,1739,2003,Oct,Wed
Bridgewater,ME,127,US-Canada Border,2013-03-01,Trucks,742,2013,Mar,Fri
Eastport,ID,3302,US-Canada Border,1999-05-01,Buses,39,1999,May,Sat
Houlton,ME,106,US-Canada Border,2009-12-01,Personal Vehicle Passengers,48121,2009,Dec,Tue
Eastport,ME,103,US-Canada Border,2005-06-01,Bus Passengers,1560,2005,Jun,Wed
Hannah,ND,3408,US-Canada Border,1996-10-01,Personal Vehicle Passengers,766,1996,Oct,Tue
Port Huron,MI,3802,US-Canada Border,2018-09-01,Trucks,71916,2018,Sep,Sat
Otay Mesa,CA,2506,US-Mexico Border,2009-04-01,Personal Vehicles,335693,2009,Apr,Wed
Hidalgo,TX,2305,US-Mexico Border,2006-02-01,Pedestrians,161314,2006,Feb,Wed
Andrade,CA,2502,US-Mexico Border,2008-12-01,Personal Vehicle Passengers,79859,2008,Dec,Mon
Otay Mesa,CA,2506,US-Mexico Border,2009-04-01,Truck Containers Empty,19467,2009,Apr,Wed
Alexandria Bay,NY,708,US-Canada Border,1996-03-01,Truck Containers Full,127,1996,Mar,Fri
Madawaska,ME,109,US-Canada Border,1996-05-01,Bus Passengers,185,1996,May,Wed
Ferry,WA,3013,US-Canada Border,2004-12-01,Truck Containers Full,95,2004,Dec,Wed
Lancaster,MN,3430,US-Canada Border,2017-01-01,Truck Containers Full,14,2017,Jan,Sun
Baudette,MN,3424,US-Canada Border,2008-04-01,Personal Vehicles,12286,2008,Apr,Tue
Laurier,WA,3016,US-Canada Border,2014-03-01,Rail Containers Empty,6,2014,Mar,Sat
Calais,ME,115,US-Canada Border,2009-07-01,Personal Vehicles,85437,2009,Jul,Wed
Sumas,WA,3009,US-Canada Border,2003-08-01,Rail Containers Empty,63,2003,Aug,Fri
Nighthawk,WA,3011,US-Canada Border,2018-12-01,Personal Vehicle Passengers,418,2018,Dec,Sat
Derby Line,VT,209,US-Canada Border,2012-10-01,Personal Vehicle Passengers,91819,2012,Oct,Mon
Del Rio,TX,2302,US-Mexico Border,1998-08-01,Personal Vehicle Passengers,387492,1998,Aug,Sat
Portal,ND,3403,US-Canada Border,2014-01-01,Rail Containers Empty,7482,2014,Jan,Wed
Port Huron,MI,3802,US-Canada Border,2014-10-01,Rail Containers Empty,19613,2014,Oct,Wed
Beecher Falls,VT,206,US-Canada Border,2017-05-01,Truck Containers Full,691,2017,May,Mon
Hidalgo,TX,2305,US-Mexico Border,2011-01-01,Personal Vehicles,423319,2011,Jan,Sat
International Falls-Ranier,MN,3604,US-Canada Border,2004-06-01,Buses,52,2004,Jun,Tue
Frontier,WA,3020,US-Canada Border,2001-02-01,Bus Passengers,723,2001,Feb,Thu
Del Bonita,MT,3322,US-Canada Border,1997-04-01,Trucks,54,1997,Apr,Tue
Santa Teresa,NM,2408,US-Mexico Border,2014-01-01,Truck Containers Empty,2068,2014,Jan,Wed
El Paso,TX,2402,US-Mexico Border,2008-04-01,Pedestrians,591899,2008,Apr,Tue
Norton,VT,211,US-Canada Border,2007-03-01,Train Passengers,57,2007,Mar,Thu
International Falls-Ranier,MN,3604,US-Canada Border,2011-12-01,Truck Containers Empty,542,2011,Dec,Thu
Richford,VT,203,US-Canada Border,2003-04-01,Personal Vehicles,7388,2003,Apr,Tue
Richford,VT,203,US-Canada Border,2005-05-01,Buses,3,2005,May,Sun
Frontier,WA,3020,US-Canada Border,1996-01-01,Personal Vehicles,3981,1996,Jan,Mon
Columbus,NM,2406,US-Mexico Border,2017-06-01,Buses,115,2017,Jun,Thu
Eagle Pass,TX,2303,US-Mexico Border,2000-07-01,Truck Containers Empty,3784,2000,Jul,Sat
Dunseith,ND,3422,US-Canada Border,2009-04-01,Buses,20,2009,Apr,Wed
Brownsville,TX,2301,US-Mexico Border,2014-05-01,Buses,704,2014,May,Thu
Whitetail,MT,3312,US-Canada Border,2001-06-01,Personal Vehicle Passengers,1215,2001,Jun,Fri
Hansboro,ND,3415,US-Canada Border,1998-07-01,Personal Vehicle Passengers,2982,1998,Jul,Wed
Brownsville,TX,2301,US-Mexico Border,2018-04-01,Personal Vehicles,408662,2018,Apr,Sun
Champlain-Rouses Point,NY,712,US-Canada Border,2009-10-01,Rail Containers Full,3308,2009,Oct,Thu
Lynden,WA,3023,US-Canada Border,2005-10-01,Personal Vehicles,37820,2005,Oct,Sat
Madawaska,ME,109,US-Canada Border,2008-06-01,Truck Containers Full,1559,2008,Jun,Sun
Roseau,MN,3426,US-Canada Border,2005-12-01,Truck Containers Empty,169,2005,Dec,Thu
Point Roberts,WA,3017,US-Canada Border,2000-05-01,Pedestrians,1969,2000,May,Mon
Calexico East,CA,2507,US-Mexico Border,2004-08-01,Trains,23,2004,Aug,Sun
Houlton,ME,106,US-Canada Border,2000-05-01,Bus Passengers,749,2000,May,Mon
Alcan,AK,3104,US-Canada Border,1997-09-01,Bus Passengers,2360,1997,Sep,Mon
Tecate,CA,2505,US-Mexico Border,2012-02-01,Truck Containers Full,2030,2012,Feb,Wed
Calexico East,CA,2507,US-Mexico Border,2009-10-01,Rail Containers Empty,503,2009,Oct,Thu
Alcan,AK,3104,US-Canada Border,2009-10-01,Personal Vehicles,1657,2009,Oct,Thu
Jackman,ME,104,US-Canada Border,1999-09-01,Trucks,10958,1999,Sep,Wed
Otay Mesa,CA,2506,US-Mexico Border,2014-04-01,Buses,3643,2014,Apr,Tue
Lukeville,AZ,2602,US-Mexico Border,2019-04-01,Buses,59,2019,Apr,Mon
Ogdensburg,NY,701,US-Canada Border,2002-06-01,Personal Vehicles,20861,2002,Jun,Sat
Presidio,TX,2403,US-Mexico Border,2015-06-01,Truck Containers Full,255,2015,Jun,Mon
Skagway,AK,3103,US-Canada Border,2009-07-01,Personal Vehicle Passengers,18187,2009,Jul,Wed
Eastport,ID,3302,US-Canada Border,1996-10-01,Trucks,3879,1996,Oct,Tue
Metaline Falls,WA,3025,US-Canada Border,2005-08-01,Truck Containers Full,413,2005,Aug,Mon
Sumas,WA,3009,US-Canada Border,2018-09-01,Rail Containers Full,84,2018,Sep,Sat
Derby Line,VT,209,US-Canada Border,2005-09-01,Truck Containers Full,11564,2005,Sep,Thu
El Paso,TX,2402,US-Mexico Border,2013-09-01,Rail Containers Empty,4399,2013,Sep,Sun
Buffalo-Niagara Falls,NY,901,US-Canada Border,2013-10-01,Train Passengers,1820,2013,Oct,Tue
Douglas,AZ,2601,US-Mexico Border,2002-08-01,Trucks,1740,2002,Aug,Thu
Roma,TX,2310,US-Mexico Border,2019-06-01,Buses,31,2019,Jun,Sat
Sumas,WA,3009,US-Canada Border,1996-06-01,Personal Vehicle Passengers,295927,1996,Jun,Sat
Oroville,WA,3019,US-Canada Border,2013-09-01,Trucks,2527,2013,Sep,Sun
Calais,ME,115,US-Canada Border,1997-11-01,Rail Containers Full,50,1997,Nov,Sat
Columbus,NM,2406,US-Mexico Border,2014-10-01,Bus Passengers,1536,2014,Oct,Wed
Pembina,ND,3401,US-Canada Border,2019-01-01,Truck Containers Full,16593,2019,Jan,Tue
Dalton Cache,AK,3106,US-Canada Border,2014-12-01,Truck Containers Empty,88,2014,Dec,Mon
International Falls-Ranier,MN,3604,US-Canada Border,1998-11-01,Bus Passengers,82,1998,Nov,Sun
Frontier,WA,3020,US-Canada Border,2012-07-01,Personal Vehicle Passengers,10078,2012,Jul,Sun
Maida,ND,3416,US-Canada Border,2019-01-01,Personal Vehicle Passengers,828,2019,Jan,Tue
Porthill,ID,3308,US-Canada Border,2018-11-01,Buses,1,2018,Nov,Thu
Nogales,AZ,2604,US-Mexico Border,2012-01-01,Trucks,31009,2012,Jan,Sun
Eagle Pass,TX,2303,US-Mexico Border,2008-02-01,Bus Passengers,1386,2008,Feb,Fri
Norton,VT,211,US-Canada Border,2009-09-01,Personal Vehicles,5924,2009,Sep,Tue
Laurier,WA,3016,US-Canada Border,2017-08-01,Personal Vehicle Passengers,11095,2017,Aug,Tue
Raymond,MT,3301,US-Canada Border,1999-02-01,Bus Passengers,153,1999,Feb,Mon
Hansboro,ND,3415,US-Canada Border,2012-03-01,Truck Containers Full,15,2012,Mar,Thu
Pembina,ND,3401,US-Canada Border,2011-10-01,Personal Vehicle Passengers,60756,2011,Oct,Sat
Lukeville,AZ,2602,US-Mexico Border,2019-04-01,Personal Vehicle Passengers,96740,2019,Apr,Mon
Columbus,NM,2406,US-Mexico Border,1997-10-01,Personal Vehicle Passengers,47930,1997,Oct,Wed
San Luis,AZ,2608,US-Mexico Border,2002-02-01,Truck Containers Full,2307,2002,Feb,Fri
Piegan,MT,3316,US-Canada Border,1999-03-01,Personal Vehicles,5051,1999,Mar,Mon
Tecate,CA,2505,US-Mexico Border,2007-01-01,Trains,7,2007,Jan,Mon
Skagway,AK,3103,US-Canada Border,2019-07-01,Buses,3312,2019,Jul,Mon
Brownsville,TX,2301,US-Mexico Border,2003-08-01,Truck Containers Empty,8758,2003,Aug,Fri
Buffalo-Niagara Falls,NY,901,US-Canada Border,2000-02-01,Personal Vehicle Passengers,951741,2000,Feb,Tue
Jackman,ME,104,US-Canada Border,2007-10-01,Truck Containers Full,4861,2007,Oct,Mon
Laurier,WA,3016,US-Canada Border,2010-07-01,Personal Vehicle Passengers,14008,2010,Jul,Thu
Madawaska,ME,109,US-Canada Border,2005-05-01,Trucks,3061,2005,May,Sun
St. John,ND,3405,US-Canada Border,2001-11-01,Personal Vehicles,1644,2001,Nov,Thu
Oroville,WA,3019,US-Canada Border,2016-10-01,Bus Passengers,494,2016,Oct,Sat
Raymond,MT,3301,US-Canada Border,2004-04-01,Personal Vehicle Passengers,4060,2004,Apr,Thu
Ogdensburg,NY,701,US-Canada Border,2002-07-01,Bus Passengers,925,2002,Jul,Mon
St. John,ND,3405,US-Canada Border,2018-01-01,Truck Containers Empty,26,2018,Jan,Mon
Tecate,CA,2505,US-Mexico Border,2000-05-01,Trucks,5869,2000,May,Mon
Noyes,MN,3402,US-Canada Border,1996-01-01,Trains,138,1996,Jan,Mon
Columbus,NM,2406,US-Mexico Border,2017-09-01,Pedestrians,24566,2017,Sep,Fri
Pembina,ND,3401,US-Canada Border,2012-03-01,Train Passengers,284,2012,Mar,Thu
Tecate,CA,2505,US-Mexico Border,1998-11-01,Truck Containers Full,2309,1998,Nov,Sun
Danville,WA,3012,US-Canada Border,2010-09-01,Personal Vehicle Passengers,7548,2010,Sep,Wed
Santa Teresa,NM,2408,US-Mexico Border,2011-06-01,Truck Containers Empty,1611,2011,Jun,Wed
Porthill,ID,3308,US-Canada Border,2018-12-01,Personal Vehicles,8934,2018,Dec,Sat
Frontier,WA,3020,US-Canada Border,2019-09-01,Personal Vehicles,3307,2019,Sep,Sun
Roma,TX,2310,US-Mexico Border,2017-04-01,Truck Containers Full,436,2017,Apr,Sat
Santa Teresa,NM,2408,US-Mexico Border,2018-03-01,Buses,28,2018,Mar,Thu
Raymond,MT,3301,US-Canada Border,2006-01-01,Personal Vehicle Passengers,4212,2006,Jan,Sun
Laurier,WA,3016,US-Canada Border,2003-07-01,Trains,22,2003,Jul,Tue
International Falls-Ranier,MN,3604,US-Canada Border,2004-06-01,Rail Containers Empty,4202,2004,Jun,Tue
Massena,NY,704,US-Canada Border,2018-04-01,Personal Vehicles,70591,2018,Apr,Sun
Portal,ND,3403,US-Canada Border,2003-08-01,Rail Containers Full,12337,2003,Aug,Fri
Norton,VT,211,US-Canada Border,2002-12-01,Truck Containers Full,1405,2002,Dec,Sun
Oroville,WA,3019,US-Canada Border,2011-09-01,Truck Containers Empty,918,2011,Sep,Thu
Presidio,TX,2403,US-Mexico Border,2017-04-01,Bus Passengers,505,2017,Apr,Sat
Warroad,MN,3423,US-Canada Border,2007-06-01,Trains,211,2007,Jun,Fri
Columbus,NM,2406,US-Mexico Border,2016-10-01,Trucks,2987,2016,Oct,Sat
Hansboro,ND,3415,US-Canada Border,2009-06-01,Buses,16,2009,Jun,Mon
Eagle Pass,TX,2303,US-Mexico Border,2000-03-01,Truck Containers Full,5502,2000,Mar,Wed
Rio Grande City,TX,2307,US-Mexico Border,2005-01-01,Trucks,3691,2005,Jan,Sat
Portal,ND,3403,US-Canada Border,2007-09-01,Buses,18,2007,Sep,Sat
Port Huron,MI,3802,US-Canada Border,2000-04-01,Truck Containers Empty,17205,2000,Apr,Sat
Roosville,MT,3318,US-Canada Border,2005-08-01,Truck Containers Empty,39,2005,Aug,Mon
Laurier,WA,3016,US-Canada Border,1996-05-01,Personal Vehicles,5973,1996,May,Wed
Highgate Springs-Alburg,VT,212,US-Canada Border,2017-10-01,Trucks,9077,2017,Oct,Sun
Dunseith,ND,3422,US-Canada Border,2004-08-01,Personal Vehicle Passengers,24510,2004,Aug,Sun
Sumas,WA,3009,US-Canada Border,2019-02-01,Bus Passengers,409,2019,Feb,Fri
International Falls-Ranier,MN,3604,US-Canada Border,2018-11-01,Pedestrians,587,2018,Nov,Thu
Otay Mesa,CA,2506,US-Mexico Border,2000-09-01,Personal Vehicle Passengers,939145,2000,Sep,Fri
Morgan,MT,3319,US-Canada Border,2001-11-01,Personal Vehicles,260,2001,Nov,Thu
Noyes,MN,3402,US-Canada Border,2000-06-01,Buses,18,2000,Jun,Thu
Porthill,ID,3308,US-Canada Border,2004-04-01,Truck Containers Empty,36,2004,Apr,Thu
Ferry,WA,3013,US-Canada Border,2007-12-01,Pedestrians,12,2007,Dec,Sat
Hidalgo,TX,2305,US-Mexico Border,1996-08-01,Buses,3467,1996,Aug,Thu
Buffalo-Niagara Falls,NY,901,US-Canada Border,2011-03-01,Pedestrians,12355,2011,Mar,Tue
Eagle Pass,TX,2303,US-Mexico Border,2014-07-01,Pedestrians,75215,2014,Jul,Tue
Dalton Cache,AK,3106,US-Canada Border,2009-10-01,Personal Vehicle Passengers,2204,2009,Oct,Thu
Sault Sainte Marie,MI,3803,US-Canada Border,1999-01-01,Personal Vehicle Passengers,269348,1999,Jan,Fri
Calais,ME,115,US-Canada Border,2017-05-01,Truck Containers Full,7542,2017,May,Mon
Beecher Falls,VT,206,US-Canada Border,2000-07-01,Buses,5,2000,Jul,Sat
Lynden,WA,3023,US-Canada Border,2014-02-01,Personal Vehicle Passengers,95362,2014,Feb,Sat
Jackman,ME,104,US-Canada Border,2006-02-01,Trucks,12151,2006,Feb,Wed
Nogales,AZ,2604,US-Mexico Border,2003-02-01,Rail Containers Full,1980,2003,Feb,Sat
Bridgewater,ME,127,US-Canada Border,2014-08-01,Personal Vehicles,7179,2014,Aug,Fri
Alcan,AK,3104,US-Canada Border,2012-12-01,Personal Vehicles,646,2012,Dec,Sat
Ogdensburg,NY,701,US-Canada Border,2011-04-01,Pedestrians,4,2011,Apr,Fri
Port Huron,MI,3802,US-Canada Border,2010-05-01,Train Passengers,675,2010,May,Sat
Scobey,MT,3309,US-Canada Border,2019-09-01,Trucks,23,2019,Sep,Sun
Northgate,ND,3406,US-Canada Border,2010-04-01,Truck Containers Full,124,2010,Apr,Thu
Tecate,CA,2505,US-Mexico Border,2005-06-01,Trains,9,2005,Jun,Wed
El Paso,TX,2402,US-Mexico Border,2000-02-01,Buses,600,2000,Feb,Tue
Columbus,NM,2406,US-Mexico Border,2006-03-01,Buses,161,2006,Mar,Wed
Santa Teresa,NM,2408,US-Mexico Border,1996-08-01,Truck Containers Empty,159,1996,Aug,Thu
Highgate Springs-Alburg,VT,212,US-Canada Border,2003-09-01,Personal Vehicle Passengers,86084,2003,Sep,Mon
Detroit,MI,3801,US-Canada Border,2013-09-01,Bus Passengers,26285,2013,Sep,Sun
Naco,AZ,2603,US-Mexico Border,2019-01-01,Pedestrians,5624,2019,Jan,Tue
Eastport,ID,3302,US-Canada Border,2006-11-01,Personal Vehicle Passengers,8046,2006,Nov,Wed
Frontier,WA,3020,US-Canada Border,2010-08-01,Rail Containers Full,13,2010,Aug,Sun
Ogdensburg,NY,701,US-Canada Border,2005-01-01,Bus Passengers,476,2005,Jan,Sat
Presidio,TX,2403,US-Mexico Border,2003-10-01,Bus Passengers,270,2003,Oct,Wed
Brownsville,TX,2301,US-Mexico Border,2015-06-01,Bus Passengers,3427,2015,Jun,Mon
Lukeville,AZ,2602,US-Mexico Border,1998-12-01,Personal Vehicles,28035,1998,Dec,Tue
Jackman,ME,104,US-Canada Border,2000-05-01,Truck Containers Full,4689,2000,May,Mon
Lynden,WA,3023,US-Canada Border,2003-05-01,Personal Vehicle Passengers,99587,2003,May,Thu
Sweetgrass,MT,3310,US-Canada Border,2013-04-01,Rail Containers Empty,1933,2013,Apr,Mon
Roseau,MN,3426,US-Canada Border,2019-03-01,Truck Containers Full,122,2019,Mar,Fri
Noyes,MN,3402,US-Canada Border,2000-06-01,Personal Vehicles,3516,2000,Jun,Thu
Calais,ME,115,US-Canada Border,2005-07-01,Truck Containers Full,10117,2005,Jul,Fri
Eagle Pass,TX,2303,US-Mexico Border,1996-09-01,Personal Vehicle Passengers,514658,1996,Sep,Sun
Alexandria Bay,NY,708,US-Canada Border,2016-08-01,Truck Containers Full,15593,2016,Aug,Mon
Norton,VT,211,US-Canada Border,1999-09-01,Personal Vehicle Passengers,19347,1999,Sep,Wed
Nogales,AZ,2604,US-Mexico Border,2002-02-01,Truck Containers Empty,4969,2002,Feb,Fri
Porthill,ID,3308,US-Canada Border,2002-04-01,Buses,28,2002,Apr,Mon
Naco,AZ,2603,US-Mexico Border,2013-07-01,Truck Containers Empty,178,2013,Jul,Mon
Metaline Falls,WA,3025,US-Canada Border,2001-01-01,Pedestrians,1,2001,Jan,Mon
Skagway,AK,3103,US-Canada Border,1996-03-01,Buses,11,1996,Mar,Fri
Laredo,TX,2304,US-Mexico Border,2016-12-01,Bus Passengers,63550,2016,Dec,Thu
Sumas,WA,3009,US-Canada Border,2015-03-01,Rail Containers Full,47,2015,Mar,Sun
Friday Harbor,WA,3014,US-Canada Border,2005-05-01,Personal Vehicles,339,2005,May,Sun
Anacortes,WA,3010,US-Canada Border,2016-06-01,Personal Vehicles,3276,2016,Jun,Wed
San Ysidro,CA,2504,US-Mexico Border,2001-12-01,Personal Vehicle Passengers,2607750,2001,Dec,Sat
Richford,VT,203,US-Canada Border,2005-10-01,Rail Containers Empty,36,2005,Oct,Sat
Eagle Pass,TX,2303,US-Mexico Border,2007-01-01,Trains,129,2007,Jan,Mon
Danville,WA,3012,US-Canada Border,2014-12-01,Truck Containers Full,75,2014,Dec,Mon
Buffalo-Niagara Falls,NY,901,US-Canada Border,2000-02-01,Bus Passengers,104804,2000,Feb,Tue
Northgate,ND,3406,US-Canada Border,1999-11-01,Truck Containers Full,224,1999,Nov,Mon
Cape Vincent,NY,706,US-Canada Border,2011-05-01,Personal Vehicle Passengers,1654,2011,May,Sun
Calexico East,CA,2507,US-Mexico Border,2019-11-01,Truck Containers Empty,9161,2019,Nov,Fri
Douglas,AZ,2601,US-Mexico Border,2017-11-01,Truck Containers Empty,562,2017,Nov,Wed
Sasabe,AZ,2606,US-Mexico Border,2015-11-01,Personal Vehicles,1712,2015,Nov,Sun
Maida,ND,3416,US-Canada Border,2006-11-01,Personal Vehicles,697,2006,Nov,Wed
Santa Teresa,NM,2408,US-Mexico Border,2011-01-01,Personal Vehicles,37474,2011,Jan,Sat
Lukeville,AZ,2602,US-Mexico Border,2019-05-01,Personal Vehicles,41260,2019,May,Wed
Portal,ND,3403,US-Canada Border,1997-05-01,Train Passengers,402,1997,May,Thu
International Falls-Ranier,MN,3604,US-Canada Border,2001-10-01,Rail Containers Empty,3582,2001,Oct,Mon
Sault Sainte Marie,MI,3803,US-Canada Border,2009-06-01,Bus Passengers,4080,2009,Jun,Mon
Trout River,NY,715,US-Canada Border,2010-09-01,Truck Containers Full,399,2010,Sep,Wed
Lukeville,AZ,2602,US-Mexico Border,1999-09-01,Truck Containers Full,41,1999,Sep,Wed
Sumas,WA,3009,US-Canada Border,2019-04-01,Trains,19,2019,Apr,Mon
Sumas,WA,3009,US-Canada Border,2015-02-01,Personal Vehicle Passengers,112431,2015,Feb,Sun
Alexandria Bay,NY,708,US-Canada Border,2015-05-01,Trucks,17374,2015,May,Fri
Roseau,MN,3426,US-Canada Border,2015-09-01,Personal Vehicle Passengers,6024,2015,Sep,Tue
Portal,ND,3403,US-Canada Border,2017-04-01,Pedestrians,181,2017,Apr,Sat
Porthill,ID,3308,US-Canada Border,1999-05-01,Personal Vehicle Passengers,25801,1999,May,Sat
Derby Line,VT,209,US-Canada Border,2009-09-01,Truck Containers Empty,1628,2009,Sep,Tue
Detroit,MI,3801,US-Canada Border,2010-07-01,Train Passengers,561,2010,Jul,Thu
Eagle Pass,TX,2303,US-Mexico Border,2006-11-01,Buses,93,2006,Nov,Wed
Van Buren,ME,108,US-Canada Border,2019-12-01,Trucks,1560,2019,Dec,Sun
Naco,AZ,2603,US-Mexico Border,2017-04-01,Truck Containers Empty,365,2017,Apr,Sat
Westhope,ND,3419,US-Canada Border,1996-03-01,Trucks,284,1996,Mar,Fri
Buffalo-Niagara Falls,NY,901,US-Canada Border,2018-06-01,Truck Containers Empty,18592,2018,Jun,Fri
Point Roberts,WA,3017,US-Canada Border,2008-11-01,Bus Passengers,949,2008,Nov,Sat
Nogales,AZ,2604,US-Mexico Border,2002-05-01,Bus Passengers,11070,2002,May,Wed
Lukeville,AZ,2602,US-Mexico Border,2003-05-01,Truck Containers Full,11,2003,May,Thu
Ogdensburg,NY,701,US-Canada Border,1996-10-01,Personal Vehicle Passengers,78750,1996,Oct,Tue
Lynden,WA,3023,US-Canada Border,2000-07-01,Personal Vehicle Passengers,156589,2000,Jul,Sat
Van Buren,ME,108,US-Canada Border,2008-03-01,Trains,34,2008,Mar,Sat
Laredo,TX,2304,US-Mexico Border,2013-06-01,Pedestrians,285038,2013,Jun,Sat
Metaline Falls,WA,3025,US-Canada Border,2004-01-01,Personal Vehicles,1574,2004,Jan,Thu
Champlain-Rouses Point,NY,712,US-Canada Border,2012-07-01,Rail Containers Full,4545,2012,Jul,Sun
Massena,NY,704,US-Canada Border,2017-10-01,Truck Containers Full,1559,2017,Oct,Sun
International Falls-Ranier,MN,3604,US-Canada Border,2003-02-01,Rail Containers Empty,2888,2003,Feb,Sat
El Paso,TX,2402,US-Mexico Border,1997-02-01,Truck Containers Full,15446,1997,Feb,Sat
Douglas,AZ,2601,US-Mexico Border,2010-12-01,Pedestrians,91537,2010,Dec,Wed
Maida,ND,3416,US-Canada Border,2019-10-01,Truck Containers Full,20,2019,Oct,Tue
